Name;Art;Longitude;Latitude
Havena;Metropole_Karte;-3.149469887527394;29.07757963357658;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Albernia/Metropolen_Albernia.kml
Punin;Metropole_Karte;2.632760501467018;27.04451346970674;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Almada/Metropolen_Almada.kml
Festum;Metropole_Karte;10.111237;33.919103;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Bornland/Metropolen_Bornland.kml
Gareth;Metropole_Karte;3.735098459067687;29.79180235685203;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Garetien/Metropolen_Garetien.kml
Kuslik;Metropole_Karte;-1.550894328410071;25.13238805995011;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Horasreich/Metropolen_Horasreich.kml
Vinsalt;Metropole_Karte;-0.5755950722978076;25.60990092532824;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Horasreich/Metropolen_Horasreich.kml
Al'Anfa;Metropole_Karte;-0.8037544610603009;18.44054263750952;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Meridiana/Metropolen_Meridiana.kml
Fasar;Metropole_Karte;4.549316;26.519517;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Mhanadistan/Metropolen_Mhanadistan.kml
Baan Bashur;Metropole;-61.14369417529879;20.7595390490834;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Dorinthapoles;Metropole;-57.43225160753966;19.22010722983941;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Haldingaford;Metropole;-47.37680512483463;28.63276919332234;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Karónu;Metropole;-63.75703010362415;23.09471116899207;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Ochobik;Metropole;-57.01542546735293;24.20418542426908;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Sidor Corabis;Metropole;-55.96414859644411;15.87835931050199;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Trivina;Metropole;-49.19115053063481;20.13145509138183;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Valdur Harpalis;Metropole;-67.88981786554516;20.1303984840895;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Hjaldingard/Metropolen_Myr-Hjaldingard.kml
Balan Cantara;Metropole_Karte;-53.402921;3.880022;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Imperium/Metropolen_Myr-Imperium.kml
Balan Mayek;Metropole;-53.880115;11.622728;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Imperium/Metropolen_Myr-Imperium.kml
Eratu;Metropole;-47.753916;11.058989;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Imperium/Metropolen_Myr-Imperium.kml
Eshbathmar;Metropole_Karte;-48.181714;-10.929507;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Imperium/Metropolen_Myr-Imperium.kml
Guretta;Metropole;-47.548880;3.805128;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Imperium/Metropolen_Myr-Imperium.kml
Kerrish Djanar;Metropole;-38.473410;1.170721;http://www.dereglobus.orkenspalter.de/public/DereGlobus/Staedte/kml/Siedlungen/Myranor-Imperium/Metropolen_Myr-Imperium.kml
